asset,entry_time,exit_time,entry_price,exit_price,direction,session,attempt,status,position_size,risk_amount,pnl,return_pct,holding_time,ref_close,date,day_of_week,duration_minutes
XAUUSD,2020-01-02 00:00:00+00:00,2020-01-02 08:00:00+00:00,1518.715,1518.975,long,asian,1,session_close,131.69027763602608,1000.0,34.239472185365585,0.00034239472185365583,0 days 08:00:00,1516.915,2020-01-02,Thursday,480.0
XAUUSD,2020-01-02 08:00:00+00:00,2020-01-02 13:51:00+00:00,1518.975,1526.5698749999997,long,london,1,tp_hit,131.66773646702543,1000.0,999.9999999999701,0.009999999999999702,0 days 05:51:00,1516.915,2020-01-02,Thursday,351.0
XAUUSD,2020-01-02 13:00:00+00:00,2020-01-02 15:31:00+00:00,1523.275,1530.891375,long,us,1,tp_hit,131.29605619471099,1000.0,999.9999999999701,0.009999999999999702,0 days 02:31:00,1516.915,2020-01-02,Thursday,151.0
XAUUSD,2020-01-03 00:00:00+00:00,2020-01-03 02:15:00+00:00,1529.165,1536.8108249999998,long,asian,1,tp_hit,130.83511520625257,1000.3423947218538,1000.342394721824,0.009999999999999702,0 days 02:15:00,1519.128,2020-01-03,Friday,135.0
XAUUSD,2020-01-03 08:00:00+00:00,2020-01-03 16:00:00+00:00,1545.038,1549.008,long,london,1,session_close,130.74112093035708,1009.9999999999998,519.0422500935211,0.005139032179143775,0 days 08:00:00,1529.108,2020-01-03,Friday,480.0
XAUUSD,2020-01-03 13:00:00+00:00,2020-01-03 21:00:00+00:00,1546.215,1548.798,long,us,1,session_close,130.64159900143386,1009.9999999999997,337.4472502207146,0.003341061883373413,0 days 08:00:00,1528.298,2020-01-03,Friday,480.0
XAUUSD,2020-01-06 00:00:00+00:00,2020-01-06 01:12:00+00:00,1568.425,1576.2671249999999,long,asian,1,tp_hit,128.83571974038736,1010.3458186690718,1010.3458186690718,0.01,0 days 01:12:00,1551.515,2020-01-06,Monday,72.0
XAUUSD,2020-01-06 08:00:00+00:00,2020-01-06 15:36:00+00:00,1572.255,1564.3937250000001,long,london,1,sl_hit,129.13813885164146,1015.1904225009348,-1015.1904225009348,-0.01,0 days 07:36:00,1551.515,2020-01-06,Monday,456.0
XAUUSD,2020-01-06 13:00:00+00:00,2020-01-06 15:27:00+00:00,1576.305,1568.423475,long,us,1,sl_hit,128.5759383497744,1013.3744725022069,-1013.3744725022069,-0.01,0 days 02:27:00,1551.515,2020-01-06,Monday,147.0
XAUUSD,2020-01-06 15:27:00+00:00,2020-01-06 21:00:00+00:00,1568.423475,1565.708,long,us,2,session_close,127.92982810681015,1003.2407277771848,-347.3902499783364,-0.003462680893627857,0 days 05:33:00,1551.515,2020-01-06,Monday,333.0
