entry_time,exit_time,holding_time_minutes,date,day_of_week,session,direction,attempt,ref_close,entry_price,exit_price,stop_loss,take_profit,status,pnl,r_multiple,price_vs_ref,risk_amount,reward_amount,risk_reward_ratio,session_time_range,cumulative_pnl
2023-11-03 00:00:00+00:00,2023-11-03 08:00:00+00:00,480.0,2023-11-03,Friday,asian,short,1,1985.365,1985.245,1986.578,2002.745,1967.745,session_close,-1.3330000000000837,-0.07617142857143336,-0.006044228643101809,17.5,17.5,1,00:00-08:00,-1.3330000000000837
2023-11-03 08:00:00+00:00,2023-11-03 16:00:00+00:00,480.0,2023-11-03,Friday,london,long,1,1981.035,1986.578,1992.195,1969.078,2004.078,session_close,5.616999999999962,0.3209714285714264,0.27980323416799263,17.5,17.5,1,08:00-16:00,4.283999999999878
2023-11-03 13:00:00+00:00,2023-11-03 21:00:00+00:00,480.0,2023-11-03,Friday,us,long,1,1985.478,1999.105,1992.058,1981.605,2016.605,session_close,-7.0470000000000255,-0.40268571428571576,0.6863334673061072,17.5,17.5,1,13:00-21:00,-2.7630000000001473
2023-11-06 00:00:00+00:00,2023-11-06 08:00:00+00:00,480.0,2023-11-06,Monday,asian,short,1,1992.058,1987.155,1983.455,2004.655,1969.655,session_close,3.7000000000000455,0.21142857142857402,-0.24612737179339259,17.5,17.5,1,00:00-08:00,0.9369999999998981
2023-11-06 08:00:00+00:00,2023-11-06 16:00:00+00:00,480.0,2023-11-06,Monday,london,short,1,1992.058,1983.455,1980.155,2000.955,1965.955,session_close,3.2999999999999545,0.18857142857142598,-0.4318649356595072,17.5,17.5,1,08:00-16:00,4.236999999999853
2023-11-06 13:00:00+00:00,2023-11-06 21:00:00+00:00,480.0,2023-11-06,Monday,us,short,1,1992.058,1984.675,1978.065,2002.175,1967.175,session_close,6.6099999999999,0.37771428571428,-0.37062173892527417,17.5,17.5,1,13:00-21:00,10.846999999999753
2023-11-07 00:00:00+00:00,2023-11-07 08:00:00+00:00,480.0,2023-11-07,Tuesday,asian,short,1,1983.355,1975.875,1969.905,1993.375,1958.375,session_close,5.970000000000027,0.3411428571428587,-0.3771387371398473,17.5,17.5,1,00:00-08:00,16.81699999999978
2023-11-07 08:00:00+00:00,2023-11-07 16:00:00+00:00,480.0,2023-11-07,Tuesday,london,short,1,1981.025,1969.905,1963.808,1987.405,1952.405,session_close,6.09699999999998,0.3483999999999989,-0.5613255764061593,17.5,17.5,1,08:00-16:00,22.91399999999976
2023-11-07 13:00:00+00:00,2023-11-07 21:00:00+00:00,480.0,2023-11-07,Tuesday,us,short,1,1977.535,1959.095,1968.595,1976.595,1941.595,session_close,-9.5,-0.5428571428571428,-0.932474014366373,17.5,17.5,1,13:00-21:00,13.41399999999976
2023-11-08 00:00:00+00:00,2023-11-08 08:00:00+00:00,480.0,2023-11-08,Wednesday,asian,long,1,1969.255,1969.355,1968.035,1951.855,1986.855,session_close,-1.3199999999999363,-0.07542857142856779,0.005078062516023016,17.5,17.5,1,00:00-08:00,12.093999999999824
2023-11-08 08:00:00+00:00,2023-11-08 16:00:00+00:00,480.0,2023-11-08,Wednesday,london,long,1,1963.248,1968.035,1954.465,1950.535,1985.535,session_close,-13.570000000000164,-0.7754285714285808,0.24383063168789856,17.5,17.5,1,08:00-16:00,-1.4760000000003402
2023-11-08 13:00:00+00:00,2023-11-08 21:00:00+00:00,480.0,2023-11-08,Wednesday,us,short,1,1968.848,1962.875,1949.705,1980.375,1945.375,session_close,13.170000000000073,0.7525714285714328,-0.30337537483848204,17.5,17.5,1,13:00-21:00,11.693999999999733
2023-11-09 00:00:00+00:00,2023-11-09 08:00:00+00:00,480.0,2023-11-09,Thursday,asian,short,1,1967.585,1950.885,1948.955,1968.385,1933.385,session_close,1.9300000000000637,0.11028571428571793,-0.8487562163769313,17.5,17.5,1,00:00-08:00,13.623999999999796
2023-11-09 08:00:00+00:00,2023-11-09 16:00:00+00:00,480.0,2023-11-09,Thursday,london,short,1,1955.335,1948.955,1962.285,1966.455,1931.455,session_close,-13.330000000000155,-0.7617142857142946,-0.3262867999601147,17.5,17.5,1,08:00-16:00,0.29399999999964166
