asset,entry_time,exit_time,entry_price,exit_price,direction,session,attempt,status,position_size,risk_amount,pnl,return_pct,holding_time,ref_close,date,day_of_week,duration_minutes
WTI,2020-01-03 16:18:00+00:00,2020-01-03 16:26:00+00:00,63.078025000000004,62.762634875,long,us,2,sl_hit,3167.8296205120528,999.1021799920002,-1019.0842235918402,-0.0102,0 days 00:08:00,61.126,2020-01-03,Friday,8.0
WTI,2020-01-03 16:26:00+00:00,2020-01-03 16:28:00+00:00,62.762634875,62.448821700625004,long,us,3,sl_hit,3151.2741290279796,988.9113377560818,-1008.6895645112035,-0.0102,0 days 00:02:00,61.126,2020-01-03,Friday,2.0
WTI,2020-01-06 00:00:00+00:00,2020-01-06 01:07:00+00:00,63.745,64.06372499999999,long,asian,1,tp_hit,3037.8899836820615,968.2514850490668,948.8864553480639,0.009799999999999778,0 days 01:07:00,63.026,2020-01-06,Monday,67.0
WTI,2020-01-06 08:00:00+00:00,2020-01-06 10:06:00+00:00,64.096,63.77552,long,london,1,sl_hit,3137.1991982275777,1005.4095990479849,-1025.5177910289447,-0.0102,0 days 02:06:00,63.026,2020-01-06,Monday,126.0
WTI,2020-01-06 10:06:00+00:00,2020-01-06 12:33:00+00:00,63.77552,63.4566424,long,london,2,sl_hit,3120.8037853323467,995.1544211376953,-1015.0575095604491,-0.0102,0 days 02:27:00,63.026,2020-01-06,Monday,147.0
WTI,2020-01-06 12:33:00+00:00,2020-01-06 15:58:00+00:00,63.4566424,63.139359188,long,london,3,sl_hit,3104.4940570070007,985.0038460420909,-1004.7039229629328,-0.0102,0 days 03:25:00,63.026,2020-01-06,Monday,205.0
WTI,2020-01-06 13:00:00+00:00,2020-01-06 14:07:00+00:00,63.595,63.91297499999999,long,us,1,tp_hit,3078.3062885792247,978.8244421109698,959.2479532687285,0.009799999999999776,0 days 01:07:00,63.026,2020-01-06,Monday,67.0
WTI,2020-01-07 00:00:00+00:00,2020-01-07 01:46:00+00:00,62.926,62.61137,short,asian,1,tp_hit,3107.5878002814934,977.7403496025476,958.1855426105186,0.009800000000000225,0 days 01:46:00,64.115,2020-01-07,Tuesday,106.0
WTI,2020-01-07 08:00:00+00:00,2020-01-07 14:10:00+00:00,62.845,62.530775,short,london,1,tp_hit,3102.734686331394,974.9568068124617,955.4576706762343,0.009800000000000225,0 days 06:10:00,63.205,2020-01-07,Tuesday,370.0
WTI,2020-01-07 13:00:00+00:00,2020-01-07 16:14:00+00:00,62.695,62.381525,short,us,1,tp_hit,3153.096488216499,988.416921643657,968.6485832107838,0.0098,0 days 03:14:00,62.815,2020-01-07,Tuesday,194.0
WTI,2020-01-08 00:00:00+00:00,2020-01-08 00:11:00+00:00,64.846,65.17023,long,asian,1,tp_hit,3045.1290905488468,987.3222050286527,967.5757609280796,0.0098,0 days 00:11:00,62.875,2020-01-08,Wednesday,11.0
WTI,2020-01-08 08:00:00+00:00,2020-01-08 08:48:00+00:00,63.175,62.859125,long,london,1,sl_hit,3116.775254512795,984.511383519224,-1004.2016111896085,-0.0102,0 days 00:48:00,62.535,2020-01-08,Wednesday,48.0
WTI,2020-01-08 08:48:00+00:00,2020-01-08 11:58:00+00:00,62.859125,62.544829375,long,london,2,sl_hit,3100.48657981583,974.4693674073278,-993.9587547554744,-0.0102,0 days 03:10:00,62.535,2020-01-08,Wednesday,190.0
WTI,2020-01-08 11:58:00+00:00,2020-01-08 12:45:00+00:00,62.544829375,62.232105228125,long,london,3,sl_hit,3084.283031861025,964.5297798597732,-983.8203754569686,-0.0102,0 days 00:47:00,62.535,2020-01-08,Wednesday,47.0
WTI,2020-01-08 13:00:00+00:00,2020-01-08 13:11:00+00:00,62.015,61.704925,short,us,1,tp_hit,3218.909642750287,998.1034074757648,978.1413393262724,0.009800000000000229,0 days 00:11:00,62.626,2020-01-08,Wednesday,11.0
WTI,2020-01-09 00:00:00+00:00,2020-01-09 06:29:00+00:00,59.981,59.681095,short,asian,1,tp_hit,3324.379262226201,996.9979626379336,977.0580033851985,0.009800000000000237,0 days 06:29:00,63.175,2020-01-09,Thursday,389.0
